Method,Dataset,Dimension,Width_mean,Width_std,Coverage_mean,Coverage_std,Model
R2CCP,Summeval,relevance,1.9789091666666667,0.12369066846289928,0.9045416666666667,0.024919013940104557,qwen
Boosted_cqr,Dialsumm,coherence,1.3472042857142859,0.03540394427506954,0.8706190476190476,0.01760734977579363,qwen
Boosted_cqr,Dialsumm,consistency,1.6946509523809525,0.11859859648890919,0.8656666666666666,0.020277745376191036,qwen
Boosted_cqr,Dialsumm,fluency,1.0519638095238095,0.05641645760517821,0.8738095238095238,0.021812112193224546,qwen
Boosted_cqr,Dialsumm,relevance,1.5184557142857142,0.05689096802469415,0.8707619047619047,0.01787726288519804,qwen
Boosted_lcp,Dialsumm,coherence,1.3474185714285716,0.039592431898245066,0.862904761904762,0.019707514127000336,qwen
Boosted_lcp,Dialsumm,consistency,1.7538747619047619,0.035513340444389654,0.8607619047619047,0.021078364336806994,qwen
Boosted_lcp,Dialsumm,fluency,0.9557685714285714,0.06567868348069954,0.8777142857142857,0.022486527360566565,qwen
Boosted_lcp,Dialsumm,relevance,1.6281890476190477,0.041910882243564956,0.8687619047619048,0.018704462255850964,qwen
CHR,Dialsumm,coherence,1.2536428571428573,0.05059774648471464,0.8187619047619048,0.02728052547401534,qwen
CHR,Dialsumm,consistency,1.4767523809523808,0.0531294269450222,0.815,0.021330646529141163,qwen
CHR,Dialsumm,fluency,1.0011428571428571,0.03988089233630266,0.8597142857142858,0.02347202506370366,qwen
CHR,Dialsumm,relevance,1.3328761904761905,0.04296005269015052,0.8114761904761905,0.01840770320857456,qwen
CQR_asym,Dialsumm,coherence,1.6052257142857145,0.13416041740719958,0.9287619047619047,0.024994674544214307,qwen
CQR_asym,Dialsumm,consistency,2.4002514285714285,0.48283022323596464,0.9191904761904761,0.02243352313740659,qwen
CQR_asym,Dialsumm,fluency,1.1404738095238094,0.1520821235000835,0.9387142857142857,0.02264168774466275,qwen
CQR_asym,Dialsumm,relevance,2.0429414285714285,0.14384935124261236,0.9237619047619048,0.02351121831842823,qwen
CQR_sym,Dialsumm,coherence,1.5173385714285714,0.15476484825974332,0.9157142857142857,0.020171676968565054,qwen
CQR_sym,Dialsumm,consistency,2.3728223809523805,0.5859581795305943,0.9151428571428571,0.02445636939985939,qwen
CQR_sym,Dialsumm,fluency,1.05752,0.1312616129831091,0.9311428571428572,0.020953351223988823,qwen
CQR_sym,Dialsumm,relevance,2.0216233333333333,0.1803434796359347,0.9155238095238095,0.018595033628027984,qwen
LVD,Dialsumm,coherence,1.4746571428571429,0.050541192569782054,0.8991428571428571,0.014070297021343383,qwen
LVD,Dialsumm,consistency,1.8400590476190475,0.051552110341811876,0.9042857142857144,0.014369214100411911,qwen
LVD,Dialsumm,fluency,1.1962290476190476,0.07147687140213604,0.9025714285714286,0.021260093020558177,qwen
LVD,Dialsumm,relevance,1.736154761904762,0.09917266407055206,0.899904761904762,0.016743851301766578,qwen
R2CCP,Dialsumm,coherence,1.409419523809524,0.10760939925325859,0.8967142857142857,0.02808990792999919,qwen
R2CCP,Dialsumm,consistency,1.7368076530612246,0.10502485178901831,0.8996938775510204,0.021847257656250254,qwen
R2CCP,Dialsumm,fluency,1.1376365079365078,0.13982568775646062,0.897037037037037,0.03415939625606161,qwen
R2CCP,Dialsumm,relevance,1.6071413265306123,0.16815020753890988,0.8979591836734694,0.028511653268410177,qwen
Boosted_cqr,GEval,cosmos,3.345561224489796,0.21080246735034092,0.8102040816326531,0.06440261702943098,qwen
Boosted_cqr,GEval,drop,2.545257142857143,0.3809838126606198,0.8352380952380952,0.06298290648039696,qwen
Boosted_cqr,GEval,esnli,1.8959210526315788,0.20123287202648826,0.818421052631579,0.052676931458107944,qwen
Boosted_cqr,GEval,gsm8k,3.179376666666667,0.2661729547692152,0.827,0.06069425922975151,qwen
Boosted_lcp,GEval,cosmos,3.4471836734693877,0.1971939375910867,0.8040816326530612,0.10099392597109233,qwen
Boosted_lcp,GEval,drop,2.7896952380952382,0.15323084500253967,0.8304761904761905,0.06485456521911122,qwen
Boosted_lcp,GEval,esnli,1.8544122807017545,0.2323035647387696,0.8078947368421052,0.10580622164292286,qwen
Boosted_lcp,GEval,gsm8k,3.4227633333333336,0.19209397571435477,0.8346666666666667,0.07281215005342379,qwen
CHR,GEval,cosmos,2.5886054421768705,0.28030673450790494,0.7496598639455782,0.05490054469746226,qwen
CHR,GEval,drop,1.7551111111111113,0.19428889100937044,0.6838095238095239,0.0712433284872133,qwen
CHR,GEval,esnli,1.3930701754385963,0.14255572103844039,0.668421052631579,0.07317036282792533,qwen
CHR,GEval,gsm8k,1.7577333333333334,0.3058359863958339,0.7256666666666667,0.05654923599796928,qwen
CQR_asym,GEval,cosmos,3.927908163265306,0.14593325994483455,0.991156462585034,0.017517547686991316,qwen
CQR_asym,GEval,drop,3.9167587301587306,0.20816141250107476,0.9917460317460318,0.028044772056681256,qwen
CQR_asym,GEval,esnli,2.9557938596491224,0.549175285736543,0.9741228070175438,0.029620803207864234,qwen
CQR_asym,GEval,gsm8k,3.8961266666666665,0.2260414120333328,0.99,0.017419766814227702,qwen
CQR_sym,GEval,cosmos,3.623952380952381,0.30831535100604696,0.9666666666666667,0.03169936138058739,qwen
CQR_sym,GEval,drop,3.781473015873016,0.16078564392024844,0.9685714285714285,0.024009016472970626,qwen
CQR_sym,GEval,esnli,3.3697938596491226,0.5060275473661924,0.9828947368421053,0.028103947847441496,qwen
CQR_sym,GEval,gsm8k,3.5769733333333336,0.3843606603119033,0.953,0.042681660440182435,qwen
LVD,GEval,cosmos,3.343636054421769,0.21071189333188425,0.8901360544217687,0.05242153059922341,qwen
LVD,GEval,drop,2.411053968253968,0.20308966981601387,0.8457142857142856,0.04979589273055464,qwen
LVD,GEval,esnli,2.652657894736842,0.5711903342048127,0.9241228070175438,0.05850643412277981,qwen
LVD,GEval,gsm8k,2.8262799999999997,0.3045675819912553,0.885,0.044932900165039195,qwen
R2CCP,GEval,cosmos,3.0651564625850343,0.5058911000879912,0.8710884353741497,0.08103596731027987,qwen
R2CCP,GEval,drop,3.096409523809524,0.8894324095720386,0.933968253968254,0.07744990822591445,qwen
R2CCP,GEval,esnli,1.6792348927875242,0.36941847171045306,0.847953216374269,0.06888790174853536,qwen
R2CCP,GEval,gsm8k,2.3782,0.6322555561447144,0.8753333333333334,0.059465048171366934,qwen
Boosted_cqr,SocREval,cosmos,3.0460816326530615,0.16468814950967572,0.7908163265306122,0.05159771900119964,qwen
Boosted_cqr,SocREval,drop,2.556279365079365,0.4304390337607256,0.8117460317460317,0.06291003066023698,qwen
Boosted_cqr,SocREval,esnli,1.5093684210526315,0.4582459023293321,0.7710526315789473,0.10574978262378844,qwen
Boosted_cqr,SocREval,gsm8k,2.8133666666666666,0.3328268912516384,0.8066666666666666,0.05221529260292616,qwen
Boosted_lcp,SocREval,cosmos,3.4610340136054423,0.21032023965020188,0.8040816326530612,0.08454515825318146,qwen
Boosted_lcp,SocREval,drop,2.814495238095238,0.09936376978455047,0.8574603174603175,0.03772258896947851,qwen
Boosted_lcp,SocREval,esnli,1.7392894736842104,0.15770276290851976,0.775,0.08627170646245627,qwen
Boosted_lcp,SocREval,gsm8k,3.3753333333333333,0.14047323793062017,0.8623333333333334,0.03820844222774942,qwen
CHR,SocREval,cosmos,2.441700680272109,0.28063440937778605,0.726530612244898,0.0753378789490276,qwen
CHR,SocREval,drop,2.082920634920635,0.27750831437103235,0.7587301587301588,0.05383608530149727,qwen
CHR,SocREval,esnli,1.2249122807017545,0.18270545812054584,0.6969298245614035,0.08558620919283148,qwen
CHR,SocREval,gsm8k,1.8130666666666666,0.7385651015282283,0.775,0.0787729167531145,qwen
CQR_asym,SocREval,cosmos,3.856969387755102,0.22466132233777197,0.9901360544217687,0.017872634947368373,qwen
CQR_asym,SocREval,drop,3.893666666666667,0.21137406618555074,0.9866666666666667,0.03139820396851065,qwen
CQR_asym,SocREval,esnli,2.7652192982456136,0.6533490429936885,0.968421052631579,0.0381038794105574,qwen
CQR_asym,SocREval,gsm8k,3.8716633333333332,0.27152792513190377,0.9896666666666667,0.0190250893030363,qwen
CQR_sym,SocREval,cosmos,3.366387755102041,0.21310747689433163,0.9479591836734694,0.025890896245208076,qwen
CQR_sym,SocREval,drop,3.7928190476190475,0.1567234400852027,0.9701587301587301,0.027481491246722608,qwen
CQR_sym,SocREval,esnli,3.0078552631578948,0.6988037835465942,0.9736842105263157,0.043434112318600074,qwen
CQR_sym,SocREval,gsm8k,3.3470633333333333,0.46858369986760023,0.9533333333333334,0.0347734870598111,qwen
LVD,SocREval,cosmos,3.049231292517007,0.2119931326523476,0.8428571428571429,0.056248658549002184,qwen
LVD,SocREval,drop,2.673679365079365,0.2167953424120737,0.9057142857142857,0.037378311433384374,qwen
LVD,SocREval,esnli,1.9125438596491229,0.246669946652587,0.8596491228070176,0.07283780571919679,qwen
LVD,SocREval,gsm8k,2.8279433333333333,0.3991201510247547,0.9013333333333333,0.04116688770939771,qwen
R2CCP,SocREval,cosmos,2.8995714285714285,0.5175901017418436,0.8534013605442178,0.08459115266811064,qwen
R2CCP,SocREval,drop,2.3852126984126985,0.5854342037607996,0.8625396825396826,0.08218165793903254,qwen
R2CCP,SocREval,esnli,1.5896783625730995,0.5396590716978111,0.8450292397660818,0.08745743640219611,qwen
R2CCP,SocREval,gsm8k,2.00147,1.0391418724784076,0.8673333333333333,0.07090223153597924,qwen
